ID,Compound Name,Primary Therapeutic Area,Primary Mechanism of Action,TASS Score,MANS Score,Disease similarity,Rationale for Scores
21,Adrenochrome Monosemicarbazone,Capillary Bleeding,Hemostatic,0,10,0,"TA: Hemostasis, unrelated. MoA: Believed to decrease capillary permeability, unrelated to metabolic pathways."
22,Afatinib Dimaleate,Non-Small Cell Lung Cancer (NSCLC),ErbB Family Tyrosine Kinase Inhibitor,0,9,0,"TA: Oncology, unrelated. MoA: Kinase inhibition is distinct, though some kinases are involved in metabolic signaling."
23,Aflapin,Osteoarthritis,5-Lipoxygenase (5-LOX) Inhibitor,0.5,9.4,4.7,"TA: Pain/inflammation, unrelated. Minimal score for link to chronic inflammation in obesity. MoA: Inhibition of leukotriene synthesis is unrelated to GLP-1 signaling."
24,Agomelatine,Major Depressive Disorder,"Melatonin (MT1/MT2) Agonist, 5-HT2C Antagonist",1.2,9.6,3,"TA: Psychiatry, unrelated. Minimal score as mood/circadian rhythm can influence eating behavior. MoA: Melatonergic/serotonergic modulation is distinct from GLP-1 agonism."
25,Albendazole,Parasitic Worm Infections,Tubulin Polymerization Inhibitor,0,10,0,"TA: Infectious disease, unrelated. MoA: Disruption of parasite cytoskeleton is completely unrelated to human endocrine modulation."
26,Albumin,"Hypovolemia, Hypoalbuminemia",Plasma Volume Expander,0,10,0.5,"TA: Critical care/fluid resuscitation, unrelated. MoA: Oncotic pressure regulation is a physical mechanism, not pharmacological signaling."
27,Alendronic Acid,Osteoporosis,Bisphosphonate (Farnesyl Pyrophosphate Synthase Inhibitor),0.2,9.9,2.8,"TA: Bone metabolism, unrelated. Minimal score as metabolic health can influence bone density. MoA: Inhibition of osteoclast function is unrelated to GLP-1 signaling."
28,Alfuzosin,Benign Prostatic Hyperplasia (BPH),Alpha-1 Adrenergic Receptor Antagonist,0,9.8,0.8,"TA: Urological condition, unrelated. MoA: Alpha-blockade is unrelated to GLP-1 signaling."
29,Aliskiren,Hypertension,Direct Renin Inhibitor,5.2,9.8,7,"TA: Treats hypertension, a key comorbidity for Wegovy's target population. MoA: Inhibition of the RAAS pathway is distinct from GLP-1 agonism."
30,Allium Cepa,Scar Treatment,Botanical Extract,0,10,0,"TA: Dermatology (scarring), unrelated. MoA: Complex botanical, likely anti-inflammatory/proliferative, unrelated to GLP-1."
31,Allopurinol,"Gout, Hyperuricemia",Xanthine Oxidase Inhibitor,0.4,9.8,5.5,"TA: Gout is a metabolic disease, but distinct from obesity/T2DM. MoA: Inhibition of purine metabolism is unrelated to GLP-1 signaling."
32,Allylestrenol,Threatened Miscarriage/Preterm Labor,Progestogen,0,9.9,0,"TA: Obstetrics, unrelated. MoA: Progesterone receptor agonism is unrelated to GLP-1 signaling."
33,Almotriptan,Migraine,Serotonin 5-HT1B/1D Receptor Agonist,0,9.6,0.7,"TA: Neurology (headache), unrelated. MoA: Serotonergic agonism for vasoconstriction is unrelated to GLP-1 signaling."
34,Alogliptin,Type 2 Diabetes,Dipeptidyl Peptidase-4 (DPP-4) Inhibitor,7.5,2.5,9.2,"TA: T2DM is a key comorbidity. MoA: Directly modulates the incretin system by preserving endogenous GLP-1, making it mechanistically adjacent to Wegovy."
35,Alpha Glycerylphosphorylcholine,Cognitive Impairment (Dementia),Choline Precursor,0,9.9,0.5,"TA: Neurology/cognitive enhancement, unrelated. MoA: Provides choline for acetylcholine synthesis, unrelated to GLP-1."
36,Alpha Ketoanalogue,Chronic Kidney Disease,Nutritional Supplement,3.2,9.9,2.6,"TA: Treats a comorbidity (CKD) often seen with T2DM/obesity. MoA: Provides nitrogen-free amino acid precursors, a nutritional strategy unrelated to GLP-1."
37,Alpha Lipoic Acid,Diabetic Neuropathy,"Antioxidant, Cofactor",3.8,9.7,2.5,"TA: Treats a direct complication of T2DM. MoA: Acts as an antioxidant and metabolic cofactor, distinct from GLP-1 signaling."
38,Alpha-Amylase,"Indigestion, Inflammation",Digestive Enzyme,0,10,0,"TA: Digestive aid/anti-inflammatory, unrelated. MoA: Enzymatic breakdown of starch is unrelated to endocrine signaling."
39,Alpha-Beta Arteether,Malaria,Antimalarial (Artemisinin derivative),0,10,0,"TA: Infectious disease, unrelated. MoA: Generates free radicals in parasites, completely unrelated to human endocrine modulation."
40,Alprazolam,"Anxiety, Panic Disorder",Benzodiazepine (GABA-A Receptor Modulator),1.1,9.6,0.8,"TA: Psychiatry, unrelated. Minimal score as anxiety can influence eating behaviors. MoA: CNS depressant action via GABA is distinct from GLP-1 signaling."
41,Aluminium Hydroxide,"Heartburn, Indigestion",Antacid,0,10,0,"TA: GI symptom relief, unrelated. MoA: Direct chemical neutralization of stomach acid, not a pharmacological mechanism."
42,Amantadine,"Parkinson's Disease, Influenza A","NMDA Antagonist, Dopaminergic Agent",1.3,9.6,0.8,"TA: Neurology/antiviral, unrelated. Minimal score as dopamine pathways are involved in appetite. MoA: CNS neurotransmitter modulation is distinct from GLP-1 signaling."
43,Ambrisentan,Pulmonary Arterial Hypertension (PAH),Endothelin Receptor Antagonist,3.3,9.8,0.9,"TA: A specific form of hypertension, a distant cardiovascular link. MoA: Endothelin pathway blockade is unrelated to GLP-1 signaling."
44,Ambroxol,Productive Cough,Mucolytic,0,10,0,"TA: Respiratory symptom relief, unrelated. MoA: Breaks down mucus fibers, unrelated to metabolic pathways."
45,Amifostine,Chemotherapy/Radiotherapy Cytoprotection,Cytoprotective Agent (Prodrug of a Thiol),0,10,0,"TA: Oncology support, unrelated. MoA: Free radical scavenging is unrelated to GLP-1 signaling."
46,Amikacin,Bacterial Infections,Aminoglycoside Antibiotic (30S Ribosome Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial protein synthesis is completely unrelated to human endocrine modulation."
47,Amiloride,"Hypertension, Edema",Potassium-Sparing Diuretic (ENaC Blocker),5.2,9.8,6.2,"TA: Treats hypertension, a key comorbidity. MoA: Blocks sodium channels in the kidney, unrelated to GLP-1 signaling."
48,Aminophylline,"Asthma, COPD","Bronchodilator (PDE Inhibitor, Adenosine Antagonist)",0,9.8,0.8,"TA: Respiratory disease, unrelated. MoA: PDE inhibition and adenosine antagonism for bronchodilation are unrelated to GLP-1 agonism."
49,Amiodarone,Ventricular Arrhythmias,Antiarrhythmic (Multi-channel Blocker),3.4,9.8,0.9,"TA: Treats a serious cardiovascular condition, related to Wegovy's CV risk reduction indication. MoA: Blocks cardiac ion channels, unrelated to metabolic signaling."
50,Amisulpride,"Schizophrenia, Dysthymia",Atypical Antipsychotic (D2/D3 Antagonist),1.6,9.6,3.8,"TA: Psychiatry, unrelated. Score reflects significant potential for weight gain side effect. MoA: Dopamine receptor antagonism is distinct from GLP-1 agonism."
51,Amitriptyline,"Depression, Neuropathic Pain",Tricyclic Antidepressant (Serotonin/Norepinephrine Reuptake Inhibitor),1.5,9.7,3.2,"TA: Psychiatry, unrelated. Score reflects significant potential for weight gain side effect. MoA: Monoamine reuptake inhibition is distinct from GLP-1 agonism."
52,Amlexanox,"Aphthous Ulcers, Metabolic Disorders (investigational)",Anti-inflammatory (IKKε/TBK1 Inhibitor),1.7,9.1,0,"TA: Primarily topical anti-inflammatory. Score reflects investigational use in metabolic disease. MoA: Kinase inhibition is distinct, but has a plausible link to metabolic inflammation."
53,Amlodipine,"Hypertension, Angina",Dihydropyridine Calcium Channel Blocker,5.2,9.8,7.5,"TA: Treats hypertension, a key comorbidity. MoA: Blocks calcium channels in vascular smooth muscle, unrelated to GLP-1 signaling."
54,Ammonium Chloride,"Metabolic Alkalosis, Expectorant","Systemic Acidifier, Expectorant",0,10,0,"TA: Acid-base balance/respiratory, unrelated. MoA: Provides acid load or irritates bronchial mucosa, unrelated to GLP-1 signaling."
55,Amorolfine,Fungal Nail Infections,Antifungal (Ergosterol Synthesis Inhibitor),0,10,0,"TA: Infectious disease (topical), unrelated. MoA: Inhibition of fungal-specific enzyme is completely unrelated to human endocrine modulation."
56,Amoxapine,Depression,"Tetracyclic Antidepressant (Dopamine Antagonist, NE Reuptake Inhibitor)",1.5,9.6,3.2,"TA: Psychiatry, unrelated. Score reflects potential for weight gain. MoA: Dopamine/norepinephrine modulation is distinct from GLP-1 agonism."
57,Amoxycillin,Bacterial Infections,Beta-Lactam Antibiotic (Cell Wall Synthesis Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis is completely unrelated to human endocrine modulation."
58,Amphotericin B,Systemic Fungal Infections,Polyene Antifungal (Binds to Ergosterol),0,10,0,"TA: Infectious disease, unrelated. MoA: Binds to fungal cell membrane components, completely unrelated to human endocrine modulation."
59,Ampicillin,Bacterial Infections,Beta-Lactam Antibiotic (Cell Wall Synthesis Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis is completely unrelated to human endocrine modulation."
60,Amrinone,Congestive Heart Failure,Phosphodiesterase 3 (PDE3) Inhibitor,3.6,9.8,6.2,"TA: Treats heart failure, a relevant cardiovascular comorbidity. MoA: PDE3 inhibition for inotropic effect is unrelated to GLP-1 agonism."
61,Amylmetacresol,Sore Throat,Antiseptic,0,10,0,"TA: Local antiseptic for minor throat infections, unrelated. MoA: Non-specific antimicrobial action, unrelated to metabolic pathways."
62,Anastrozole,Breast Cancer (HR+),Aromatase Inhibitor,0,9.9,0.7,"TA: Oncology, unrelated. MoA: Inhibition of estrogen synthesis is unrelated to incretin pathways."
63,Anidulafungin,Invasive Candidiasis,Echinocandin Antifungal (Glucan Synthase Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of fungal cell wall synthesis is completely unrelated to human endocrine modulation."
64,Apixaban,Thromboembolism Prophylaxis/Treatment,Direct Factor Xa Inhibitor,3.5,9.9,6.5,"TA: Anticoagulation, relevant to CV risk but different goal. MoA: Inhibition of a specific clotting factor is unrelated to metabolic signaling."
65,Apremilast,"Psoriasis, Psoriatic Arthritis",Phosphodiesterase 4 (PDE4) Inhibitor,1.6,9.3,4.5,"TA: Autoimmune/inflammatory. Score reflects weight loss as a common side effect. MoA: PDE4 inhibition modulates inflammation, distinct from GLP-1."
66,Aprepitant,Chemotherapy-Induced Nausea/Vomiting (CINV),Neurokinin-1 (NK1) Receptor Antagonist,1.8,9.7,0,"TA: Antiemetic. Wegovy can cause nausea, creating a minor symptomatic link. MoA: NK1 antagonism in the CNS vomiting center is distinct from GLP-1's peripheral/central appetite effects."
67,Aprotinin,Reduce Surgical Bleeding,Serine Protease Inhibitor,0,10,0,"TA: Surgical hemostasis, unrelated. MoA: Broad protease inhibition is unrelated to specific GLP-1 receptor signaling."
68,Aripiprazole,"Schizophrenia, Bipolar Disorder",Atypical Antipsychotic (D2/5-HT1A Partial Agonist),1.4,9.6,3.8,"TA: Psychiatry, unrelated. Score reflects potential for metabolic side effects (less weight gain than others). MoA: Dopamine/serotonin modulation is distinct from GLP-1 agonism."
69,Armodafinil,"Narcolepsy, Sleep Apnea",Wakefulness-Promoting Agent (Dopamine Reuptake Inhibitor),1.9,6.8,0.9,"TA: Sleep disorders, unrelated. Score reflects known effect on appetite suppression. MoA: CNS stimulant action via dopamine reuptake inhibition is a non-hormonal central mechanism."
70,Arsenic Trioxide,Acute Promyelocytic Leukemia,Antineoplastic,0,10,0,"TA: Oncology, unrelated. MoA: Induces apoptosis and differentiation in cancer cells, unrelated to metabolic pathways."
71,Arteether,Malaria,Antimalarial (Artemisinin derivative),0,10,0,"TA: Infectious disease, unrelated. MoA: Generates free radicals in parasites, completely unrelated to human endocrine modulation."
72,Artemether,Malaria,Antimalarial (Artemisinin derivative),0,10,0,"TA: Infectious disease, unrelated. MoA: Generates free radicals in parasites, completely unrelated to human endocrine modulation."
73,Artesunate,Severe Malaria,Antimalarial (Artemisinin derivative),0,10,0,"TA: Infectious disease, unrelated. MoA: Generates free radicals in parasites, completely unrelated to human endocrine modulation."
74,Asenapine,"Schizophrenia, Bipolar Disorder",Atypical Antipsychotic (Multi-receptor Antagonist),1.5,9.6,3.8,"TA: Psychiatry, unrelated. Score reflects potential for weight gain. MoA: Broad dopamine/serotonin antagonism is distinct from GLP-1 agonism."
75,Aspirin,"Pain, Inflammation, CV Prophylaxis",COX-1/COX-2 Inhibitor,4.5,9.4,6.8,"TA: CV risk reduction is a shared indication, though for a different patient population (primary/secondary prevention vs. established disease with obesity). MoA: COX inhibition is distinct from GLP-1 agonism."
76,Astemizole,Allergic Rhinitis,H1-Histamine Receptor Antagonist,1.2,9.7,0,"TA: Allergy, unrelated. Score reflects potential for weight gain side effect. MoA: Histamine antagonism is distinct from GLP-1 agonism."
77,Atazanavir,HIV/AIDS,Protease Inhibitor,0.1,10,0,"TA: Infectious disease, unrelated. Minimal score for known metabolic side effects (dyslipidemia). MoA: Inhibition of a viral enzyme is completely unrelated to human endocrine modulation."
78,Atenolol,"Hypertension, Angina",Beta-1 Adrenergic Receptor Antagonist,5.2,9.8,7.2,"TA: Treats hypertension, a key comorbidity. MoA: Beta-blockade is distinct from GLP-1 agonism."
79,Atomoxetine,ADHD,Selective Norepinephrine Reuptake Inhibitor,1.9,6.5,0.9,"TA: Psychiatry (ADHD), unrelated. Score reflects known effect on appetite suppression. MoA: CNS stimulant-like action via norepinephrine is a non-hormonal central mechanism."
80,Atorvastatin,"Hypercholesterolemia, CV Risk Reduction",HMG-CoA Reductase Inhibitor (Statin),5.8,8.4,8.2,"TA: Treats dyslipidemia and reduces CV risk, both key aspects for Wegovy's target population. MoA: Inhibition of cholesterol synthesis is a peripheral metabolic mechanism distinct from GLP-1."
81,Atracurium,Surgical Muscle Relaxation,Non-depolarizing Neuromuscular Blocker,0,10,0,"TA: Anesthesiology, unrelated. MoA: Competitive antagonism of nicotinic acetylcholine receptors at the neuromuscular junction is unrelated."
82,Atropine,"Bradycardia, Organophosphate Poisoning",Muscarinic Acetylcholine Receptor Antagonist,0,9.8,0,"TA: Emergency medicine/toxicology, unrelated. MoA: Anticholinergic action is distinct from GLP-1 agonism."
83,Avanafil,Erectile Dysfunction,Phosphodiesterase 5 (PDE5) Inhibitor,0.3,9.8,2.9,TA: Urological condition. Minimal score for distant link to vascular health. MoA: PDE5 inhibition for vasodilation is unrelated to GLP-1 signaling.
84,Axitinib,Renal Cell Carcinoma,Tyrosine Kinase Inhibitor (VEGFR),0,9,0,"TA: Oncology, unrelated. MoA: Kinase inhibition is distinct, though some kinases are involved in metabolic signaling."
85,Azacitidine,Myelodysplastic Syndrome,Demethylation Agent (Nucleoside Analog),0,10,0,"TA: Oncology, unrelated. MoA: Incorporation into DNA/RNA to alter gene expression is unrelated to GLP-1 signaling."
86,Azathioprine,"Autoimmune Diseases, Transplant Rejection",Immunosuppressant (Purine Analog),0.5,9.9,3.9,"TA: Immunology, unrelated. Minimal score for link to chronic inflammation. MoA: Inhibition of purine synthesis to suppress immune cells is unrelated to GLP-1."
87,Azelnidipine,Hypertension,Dihydropyridine Calcium Channel Blocker,5.2,9.8,7.5,"TA: Treats hypertension, a key comorbidity. MoA: Blocks L- and T-type calcium channels, unrelated to GLP-1 signaling."
88,Azilsartan Medoxomil,Hypertension,Angiotensin II Receptor Blocker (ARB),5.2,9.8,7.6,"TA: Treats hypertension, a key comorbidity. MoA: Inhibition of the RAAS pathway is distinct from GLP-1 agonism."
89,Azithromycin,Bacterial Infections,Macrolide Antibiotic (50S Ribosome Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial protein synthesis is completely unrelated to human endocrine modulation."
90,Aztreonam,Bacterial Infections,Monobactam Antibiotic (Cell Wall Synthesis Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial cell wall synthesis is completely unrelated to human endocrine modulation."
91,Bacillus Calmette-Guerin Strain,"Tuberculosis (Vaccine), Bladder Cancer",Immunotherapy/Vaccine,0,10,0,"TA: Infectious disease prevention/oncology, unrelated. MoA: Live attenuated bacterium that stimulates a non-specific immune response."
92,Baclofen,Spasticity,GABA-B Receptor Agonist,0,9.6,0,"TA: Neurology (muscle relaxant), unrelated. MoA: GABAergic agonism in the CNS is distinct from GLP-1 signaling."
93,Bacterial Lysate,Respiratory Tract Infection Prophylaxis,Immunostimulant,0,10,0,"TA: Infectious disease prevention, unrelated. MoA: Contains bacterial antigens that stimulate the immune system."
94,Balofloxacin,Bacterial Infections,Fluoroquinolone Antibiotic (DNA Gyrase Inhibitor),0,10,0,"TA: Infectious disease, unrelated. MoA: Inhibition of bacterial DNA replication is completely unrelated to human endocrine modulation."
95,Balsalazide,Ulcerative Colitis,5-Aminosalicylic Acid (5-ASA) Prodrug,0.5,9.4,3.9,"TA: Inflammatory bowel disease, unrelated. Minimal score for link to chronic inflammation. MoA: Local anti-inflammatory action in the colon is distinct from GLP-1."
96,Bambuterol,"Asthma, COPD",Long-Acting Beta-2 Adrenergic Agonist (Prodrug),0,9.8,0.8,"TA: Respiratory disease, unrelated. MoA: Beta-2 agonism for bronchodilation is unrelated to GLP-1 signaling."
97,Baricitinib,"Rheumatoid Arthritis, COVID-19",Janus Kinase (JAK) Inhibitor,0.5,9.1,4,"TA: Autoimmune/inflammatory. Minimal score for link to chronic inflammation. MoA: Kinase inhibition is distinct, but JAK/STAT pathway has links to metabolic signaling."
98,Beclometasone,"Asthma, Allergic Rhinitis",Corticosteroid,0.3,9.9,1,"TA: Inflammatory/allergic conditions, unrelated. MoA: Glucocorticoid receptor agonism can cause weight gain, but is mechanistically distinct from GLP-1."
99,Bempedoic Acid,Hypercholesterolemia,ATP Citrate Lyase (ACL) Inhibitor,5.7,8.4,8.1,"TA: Treats dyslipidemia, a key comorbidity. MoA: Inhibition of an early step in cholesterol synthesis is a peripheral metabolic mechanism distinct from GLP-1."
100,Benazepril,Hypertension,Angiotensin-Converting Enzyme (ACE) Inhibitor,5.2,9.8,7.8,"TA: Treats hypertension, a key comorbidity. MoA: Inhibition of the RAAS pathway is distinct from GLP-1 agonism."
101,Bendamustine,"CLL, Non-Hodgkin Lymphoma",Alkylating Agent,0,10,0,"TA: Oncology, unrelated. MoA: Causes DNA damage in cancer cells, unrelated to metabolic pathways."
102,Benfotiamine,Diabetic Neuropathy,Thiamine (Vitamin B1) Prodrug,3.8,9.7,2.4,"TA: Treats a direct complication of T2DM. MoA: Vitamin supplement that improves glucose metabolism pathways, distinct from GLP-1 signaling."
103,Benidipine,Hypertension,Dihydropyridine Calcium Channel Blocker,5.2,9.8,7.5,"TA: Treats hypertension, a key comorbidity. MoA: Blocks L-, N-, and T-type calcium channels, unrelated to GLP-1 signaling."
104,Benzocaine,Local Anesthesia,Local Anesthetic (Sodium Channel Blocker),0,10,0,"TA: Local pain relief, unrelated. MoA: Blocks neuronal sodium channels, completely unrelated to endocrine signaling."
105,Benzonatate,Cough,Antitussive (Peripheral Anesthetic),0,10,0,"TA: Symptomatic cough relief, unrelated. MoA: Anesthetizes stretch receptors in the lungs, unrelated to metabolic pathways."
106,Benzoxonium Chloride,Sore Throat,Antiseptic (Quaternary Ammonium Compound),0,10,0,"TA: Local antiseptic, unrelated. MoA: Disrupts microbial cell membranes, unrelated to metabolic pathways."
107,Benzydamine,"Sore Throat, Oral Inflammation",Non-Steroidal Anti-inflammatory Drug (NSAID),0.5,9.4,0,"TA: Local pain/inflammation, unrelated. Minimal score for link to inflammation. MoA: Inhibits pro-inflammatory cytokines, distinct from GLP-1."
108,Benzyl Nicotinate,Muscle/Joint Pain,Rubefacient (Vasodilator),0,10,0,"TA: Topical pain relief, unrelated. MoA: Causes local vasodilation, unrelated to systemic metabolic pathways."
109,Bepotastine,Allergic Rhinitis/Conjunctivitis,H1-Histamine Receptor Antagonist,1.2,9.7,0,"TA: Allergy, unrelated. Score reflects potential for weight gain side effect. MoA: Histamine antagonism is distinct from GLP-1 agonism."
110,Betahistine,Meniere's Disease,Histamine H1 Agonist / H3 Antagonist,0,9.7,0,"TA: Vertigo, unrelated. MoA: Histaminergic modulation is distinct from GLP-1 signaling."
111,Betamethasone,"Inflammation, Allergic Reactions",Corticosteroid,0.3,9.9,1.5,"TA: Inflammatory/allergic conditions, unrelated. MoA: Glucocorticoid receptor agonism can cause weight gain, but is mechanistically distinct from GLP-1."
112,Bethanechol,Urinary Retention,Muscarinic Acetylcholine Receptor Agonist,0,9.8,0,"TA: Urological condition, unrelated. MoA: Cholinergic agonism is distinct from GLP-1 agonism."
113,Bevacizumab,Various Cancers,VEGF Inhibitor (Monoclonal Antibody),0,9,0,"TA: Oncology, unrelated. MoA: Inhibition of angiogenesis is distinct, though has distant links to metabolic health."
114,Bezafibrate,Hyperlipidemia,Fibrate (PPAR-alpha Agonist),5.6,8.3,8,"TA: Treats dyslipidemia, a key comorbidity. MoA: PPAR agonism affects lipid metabolism, a peripheral metabolic mechanism distinct from GLP-1."
115,Bicalutamide,Prostate Cancer,Androgen Receptor Antagonist,0,9.9,0,"TA: Oncology, unrelated. MoA: Blockade of steroid hormone receptors is unrelated to incretin pathways."
116,Bilastine,"Allergic Rhinitis, Urticaria",H1-Histamine Receptor Antagonist,0,9.7,0,"TA: Allergy, unrelated. MoA: Histamine antagonism is distinct from GLP-1 agonism."
117,Bimatoprost,"Glaucoma, Eyelash Hypotrichosis",Prostaglandin Analog,0,9.9,0,"TA: Ophthalmology/cosmetic, unrelated. MoA: Prostaglandin receptor agonism is unrelated to GLP-1 signaling."
118,Biotin,Biotin Deficiency,Vitamin B7 Supplement,0,10,0.5,"TA: Nutritional deficiency, unrelated. MoA: Acts as a coenzyme in metabolic reactions, a fundamental process distinct from specific receptor agonism."
119,Bisacodyl,Constipation,Stimulant Laxative,0,10,0.5,"TA: GI symptom relief, unrelated. MoA: Stimulates enteric nerves to cause peristalsis, unrelated to metabolic signaling."
120,Bisoprolol,"Hypertension, Heart Failure",Beta-1 Adrenergic Receptor Antagonist,5.2,9.8,7.2,"TA: Treats hypertension and heart failure, key comorbidities. MoA: Beta-blockade is distinct from GLP-1 agonism."
121,Bivalirudin,Anticoagulation during PCI,Direct Thrombin Inhibitor,3.5,9.9,6.3,"TA: Acute cardiovascular intervention, related to Wegovy's CV risk reduction but different patient setting. MoA: Direct inhibition of a clotting factor is unrelated to metabolic signaling."
122,Bleomycin,Various Cancers,Antineoplastic (DNA Cleavage Agent),0,10,0,"TA: Oncology, unrelated. MoA: Causes DNA strand breaks, unrelated to metabolic pathways."
123,Blonanserin,Schizophrenia,Atypical Antipsychotic (D2/5-HT2A Antagonist),1.5,9.6,3.8,"TA: Psychiatry, unrelated. Score reflects potential for weight gain. MoA: Dopamine/serotonin antagonism is distinct from GLP-1 agonism."
124,Bortezomib,"Multiple Myeloma, Mantle Cell Lymphoma",Proteasome Inhibitor,0,9.2,0,"TA: Oncology, unrelated. MoA: Inhibition of the proteasome is a fundamental cellular process, distinct from GLP-1 signaling but with broad cellular effects."
